id,name,gender,age,traits,status,interest,feature
0,Theodore Armstrong,male,39,"independent,creative,practical,patient,compassionate",artist," Easels ,Landscape painting ",Watcher
1,Jasmine Cook,male,44,"independent,compassionate,practical,energetic",nurse," First-aid kits ,Exercise equipment ",Watcher;Critic
2,Nora Bennett,male,58,"fun-loving,compassionate,caring,patient,ambitious",doctor," Fitness equipment ,Stethoscopes ,Thermometers ,Wheelchairs ",Watcher;Chatter;Poster
3,Eleanor Dean,female,39,"fun-loving,creative,practical,ambitious,patient",student," Backpacks ,Digital textbooks ",Explorer
4,Jasmine Berry,male,40,"fun-loving,creative,practical,energetic",nurse," Stethoscopes ,Blood pressure monitors ",Explorer;Critic
5,Jack Friedman,female,49,"independent,compassionate,caring,ambitious,energetic",writer," Ballpoint pens ,Notebooks ",Watcher
6,Oliver Flores,male,69,"compassionate,caring,ambitious,optimistic",teacher," Chalk ,Classroom decor ",Explorer;Poster
7,Nora Eaton,female,48,"fun-loving,compassionate,caring,ambitious,patient",doctor," Otoscopes ,Blood pressure monitors ",Explorer;Poster
8,Chloe Watson,female,34,"good at recommendations, popular, enthusiastic, humorous, and good at live streaming",network anchor,"beauty, fashion, food, travel, and lifestyle",Critic;Poster
9,David Fraser,female,35,"independent,compassionate,creative,practical,patient",writer," Typewriters ,Premium pens ,Stationery sets ",Watcher;Critic;Poster
10,Aaron Edwards,male,54,"compassionate,caring,ambitious,optimistic",teacher," Whiteboards ,Textbooks ",Watcher
11,Elijah Farmer,male,47,"fun-loving,independent,caring,patient,optimistic",student," Laptops ,Backpacks ",Critic
12,Blake Bennett,male,60,"independent,creative,practical,energetic,patient",writer," Fountain pens ,Classic books ",Watcher;Explorer;Poster
13,Ella Blanks,female,30,"compassionate,caring,ambitious,energetic",designer," Fabric ,Paintbrushes ",Watcher;Chatter
14,Gavin Foster,male,30,"fun-loving,compassionate,caring,ambitious,energetic",scientist," Microscopes ,Lab coats ",Watcher;Chatter
15,Tyler Dunn,male,63,"fun-loving,creative,practical,patient,compassionate",lawyer," Briefcases ,Legal pads ",Explorer;Critic
16,Ruby Gonzalez,male,53,"independent,compassionate,caring",retired," Fishing gear ,Golf clubs ,Binoculars ",Watcher;Explorer;Critic;Chatter;Poster
17,Vincent Charles,female,33,"compassionate,caring,ambitious,energetic",nurse," Nursing shoes ,Medical scrubs ",Watcher;Explorer
18,Felix Farmer,male,54,"compassionate,caring,ambitious,optimistic",designer," Sewing machines ,Drawing tablets ",Chatter
19,Henry Duncan,female,30,"fun-loving,creative,practical,energetic",scientist," Lab equipment ,Microscopes ",Watcher;Critic
20,Evan Friedman,male,21,"fun-loving,independent,energetic,ambitious",entrepreneur," Hiking ,Yoga ",Critic;Poster
21,Zoe Fisher,female,49,"compassionate,patient,independent",engineer," Running Shoes ,Workout DVDs ",Poster
22,Harper Bowen,male,56,"compassionate,caring,creative,patient,ambitious",retired," Lawn Games ",Watcher;Critic;Chatter
23,Madison Fraser,male,50,"fun-loving,practical,compassionate,energetic,independent",student," Stickers ,Paintbrushes ",Chatter;Poster
24,Evan Albert,male,30,"patient,compassionate,ambitious",teacher," Watches ,Cookware Sets ",Critic;Poster
25,Julia Dixon,male,58,"caring,patient,independent",nurse," Gardening Tools ",Watcher
26,Alexander Ewing,female,40,"compassionate,practical,ambitious,energetic,patient",farmer," Cookware ,Knitting Kits ",Watcher;Explorer;Critic;Chatter
27,George Morgan,male,34,"ambitious,independent",scientist," Bike Helmets ,Smartphones ",Watcher;Chatter;Poster
28,Blake Durham,male,63,"patient,compassionate,ambitious",photographer," Televisions,Headphones",Watcher;Critic;Chatter
29,Addison Clark,female,39,"fun-loving,practical,creative,independent",farmer," Painting Supplies ,Fishing Gear ",Explorer;Critic;Chatter
30,Mia Allen,female,32,"compassionate,patient,independent",entrepreneur," Running clothes ,Protein powder ",Poster
31,Patrick Foster,female,29,"fun-loving,ambitious,creative,practical",farmer," Leggings,Fishing Gear ",Explorer;Critic
32,Isaac Eaton,female,50,"compassionate,caring,ambitious",scientist," Outdoor dining sets ",Explorer;Poster
33,Owen Clarke,male,52,"caring,compassionate,ambitious",artist," Picture frames ",Poster
34,Isaac Armstrong,female,47,"compassionate,caring,ambitious",lawyer," Jewelry ,Coffee makers ",Poster
35,Owen Fraser,female,55,"compassionate,energetic,patient,creative,ambitious",designer," Luggage sets ",Explorer;Critic;Chatter
36,Katherine Eaton,female,29,"caring,compassionate,energetic,practical",scientist," Cookware ,Outdoor furniture",Chatter;Poster
37,Jacob Cook,female,30,"fun-loving,practical,caring,ambitious",nurse," Headphones ,Coffee makers ",Watcher;Critic;Chatter
38,Bennett Walker,female,44,"caring,compassionate,practical,ambitious",scientist," Tablets ,Jewelry ",Watcher;Chatter;Poster
