id,name,gender,age,traits,status,interest,feature
0,David Smith,male,25,"compassionate, caring, ambitious, optimistic",photographer,"Outdoor , Seat covers ,Kitchen Appliances",Watcher;Explorer
1,David Miller,female,39,"fun-loving, creative, practical, energetic, patient",writer," electronics , Camping stoves ",Chatter;Critic
2,James Brown,male,70,"independent, creative, patient, empathetic",engineer," Keyboards , Non-fiction ",Poster
3,Sarah Miller,female,33,"independent, compassionate",farmer, Kids ,Critic;Explorer;Watcher
4,Jiaqi Li,male,33,"good at recommendations, popular, enthusiastic, humorous, and good at live streaming",network anchor,"fashion, Beauty, skin care,  electronics, household, maternal and child products",Poster;Chatter
5,John Taylor,male,68,optimistic,doctor," Guitars , fashion , Outdoor , Activewear",Watcher
6,Sarah Williams,female,51,meticulous,musician," beauty , Sofas , Oral Care",Watcher;Explorer;Chatter
7,James Jones,male,59,"practical, fun-loving, creative, ambitious, caring",farmer,Communication,Watcher;Poster
8,Jane Brown,female,30,"patient, adventurous, fun-loving, optimistic",doctor," Media, Makeup , Decorative pillows ",Watcher;Explorer;Poster
9,David Jones,male,23,"analytical, energetic, introspective, independent",scientist," Watches , Tennis rackets , Paint brushes ",Poster
10,James Brown,female,20,"ambitious, analytical, optimistic, energetic, meticulous",designer," fitness tracker ,Photography, Floral ",Critic;Chatter
11,James Garcia,male,20,"practical, energetic, introspective, patient",engineer," Building Blocks,Communication, Mobile Devices",Watcher;Explorer;Poster
12,Robert Johnson,female,61,"analytical, introspective, independent",farmer," Games , Skin care ",Watcher;Chatter
13,Linda Williams,male,42,"meticulous, fun-loving, analytical",lawyer," camera , Cameras ",Watcher;Explorer
14,Linda Jones,female,25,"introspective, empathetic",retired," Fitness trackers , Watches,Kitchen Appliances, Wearable Technology, eyewear",Watcher;Poster
15,Linda Davis,male,25,"independent, empathetic, analytical, caring, meticulous",artist, Mobile Phone ,Watcher;Explorer
16,Sarah Davis,female,21,"ambitious, practical",entrepreneur," Weather , Athletic Footwear, Cameras ",Watcher;Explorer
17,Mary Williams,male,39,"patient, independent, energetic, ambitious, practical",farmer,"Fragrance, Education, Hoodies, Sports equipment , Home appliances ",Watcher;Explorer;Critic;Poster
18,John Jones,female,30,"fun-loving, creative, caring",musician," technology , Fitness ",Watcher;Critic;Poster
19,Michael Davis,male,26,"empathetic, compassionate, creative",designer," Sports , Activewear, Mobile Phones , Denim , camera ",Watcher;Poster
20,Michael Brown,female,42,"compassionate, empathetic, energetic, practical, creative",doctor," Kids , Seat covers , Rings ",Watcher;Chatter;Poster
21,James Johnson,male,69,analytical,photographer," Canvas , Shirts,Photography, Smartphone , Entertainment",Watcher;Explorer
22,Michael Johnson,female,25,"independent, ambitious, outgoing, compassionate",designer," Health , Sports Shoes ",Explorer;Chatter;Poster
23,Linda Brown,male,50,"independent, outgoing",designer," Food , Women's fashion ",Critic
24,James Miller,female,59,"fun-loving, empathetic, practical",entrepreneur," Running Shoes , Baby , Luxury fashion",Explorer;Poster
25,Michael Miller,male,64,"analytical, practical, creative, optimistic, compassionate",designer," Wearable Tech , Baby Products , Groceries , Television ",Poster
