id,name,gender,age,traits,status,interest,feature
0,Ava Brock,male,26,"analytical,curious,practical,empathetic",scientist," Star-gazing ,Collecting ,Knitting ,Bowling ",Explorer;Chatter
1,Kevin Coffey,male,29,"fun-loving,creative,practical,energetic,patient",artist," Tie-dye ,Building ,Drones ,Coin collecting ",Chatter;Poster
2,Madison Barker,male,61,"independent,compassionate,adventurous,patient",entrepreneur," Gardening ,Cooking ,Jogging ,Stamp collecting ",Watcher
3,Julia Armstrong,female,44,"caring,ambitious,optimistic",farmer," Photography ,Wine-making ",Watcher;Explorer;Poster
4,Evan Bass,female,57,"compassionate,caring,ambitious,optimistic",farmer," Quilting ,Brewing,Beer ,Basketball ",Explorer
5,Peter Donaldson,female,63,"independent,creative,patient,empathetic,caring",lawyer," Play-script writing ,Photography ,Reading ,Homebrewing ",Watcher;Critic
6,Olivia Donahue,male,69,"fun-loving,patient,compassionate,adventurous",retired," Pool ,Fishkeeping ,Sketching ,Gaming ",Explorer;Critic;Poster
7,Gabriel Alexander,male,47,"caring,ambitious,optimistic",actor," Partying ,Speedcubing ",Chatter;Poster
8,Andrew Brady,female,47,"independent,creative,compassionate,adventurous,optimistic",engineer," Sculpting ,Collecting ,Pet toys ,Painting ",Watcher;Explorer;Poster
9,Wesley Blair,male,67,"independent,creative,practical,adventurous",actor," Genealogy ,3D printing ,Surfing ",Watcher;Poster
10,Jasmine Dawson,female,54,"fun-loving,creative,practical,energetic,patient,empathetic",engineer," Pottery ,Cooking ,Writing ,Photography ",Explorer;Chatter
11,Mason Turner,male,43,"analytical,ambitious,patient",scientist," Jewelry making ,Astrology ,LARPing ,Tarot reading ",Chatter
12,Patrick Bowen,female,55,"compassionate,ambitious,optimistic",farmer," Beekeeping,Origami ,Bonsai ,Quilting ",Watcher;Critic
13,Hannah Collins,male,30,"independent,creative,practical,adventurous",writer," Wine-tasting ,Upcycling ,Calligraphy ,Foraging ",Watcher;Explorer
14,Isla Cochran,female,42,"caring,ambitious,optimistic",doctor," Crocheting,Writing ,Singing,Yoga ",Watcher;Critic
15,Willow Dawson,female,35,"independent,creative,practical,energetic,patient",designer," Candle-making ,Scrapbooking ,Pottery ,Hiking ",Watcher;Critic;Poster
16,Harper Lawson,male,22,"fun-loving,creative,practical,adventurous",actor," Candle-making ,Prop-making ,Anime ,Camping ",Watcher;Explorer;Poster
17,Christopher Dunn,male,68,"compassionate,ambitious,optimistic",lawyer," Cooking ,Running ,Impressionist paintings ",Chatter
18,Elijah Blanks,male,38,"independent,creative,practical,adventurous,optimistic",artist," Cosplaying ,Leatherworking ,Beekeeping ,Sewing ",Watcher;Explorer;Critic
19,Hunter Gray,female,48,"caring,ambitious,optimistic",nurse," Musical theater ,Stand-up comedy ,Cruises ,Gardening ",Watcher;Explorer;Critic;Poster
20,Harper Cooper,male,31,"independent,ambitious,practical,caring",entrepreneur," Kayaking ,Motorcycles",Explorer;Critic
21,Jonah Lee,female,47,"creative,practical,enthusiastic,patient",farmer," Music ,Geocaching",Explorer;Critic
22,Nora Bernard,male,58,"fun-loving,compassionate,ambitious,patient",actor," Fishing ,Hiking",Watcher;Poster
23,Hudson Baldwin,male,52,"patient,empathetic,caring,ambitious",teacher," Sports Equipment ,Musical Instruments ,Flowers",Poster
